Row,Player,Season,Team,Position,GP,TOI,G,A1,A2,PTS,SOG,SA,SAT,xG,SH%_G,SH%_SOG,SH%_SAT,G_SOG,G_SA,G_SAT,HIT,PIM,BLK,GVA,TKA,FOW,FOL,FO_Diff,OZS,DZS
768,Victor Olofsson,25-26,COL,L,60,800.27,11,6,8,25,113,152,198,12.59,9.73,7.24,8.28,13,44,10,13,43,3,6,0,0,3,3,5,-2
769,Victor Soderstrom,25-26,BOS,D,8,109.42,0,0,1,1,8,11,15,0.19,0,0,1.73,10,11,2,1,22,0,0,0,0,0,0,0,0
770,Viktor Arvidsson,25-26,BOS,L,51,738.05,18,8,9,35,134,208,274,19.17,13.43,8.65,9.22,27,37,11,17,79,10,11,0,0,1,7,4,3
771,Ville Koivunen,25-26,PIT,R,29,369.13,2,0,4,6,27,45,72,4.36,7.41,4.44,9.69,11,13,5,3,34,4,1,0,0,-3,2,0,2
772,Vince Dunn,25-26,SEA,D,61,1345.47,10,15,13,38,127,171,274,7.27,7.87,5.85,4.25,59,71,23,19,68,19,12,0,0,-7,0,0,0
773,Vincent Desharnais,25-26,S.J,D,34,581.72,1,0,3,4,22,32,60,0.6,4.55,3.12,1.88,51,28,4,62,47,12,7,0,0,-5,0,0,0
774,Vincent Iorio,25-26,NYR,D,5,65.88,0,0,0,0,5,5,7,0.22,0,0,4.4,7,8,3,3,8,0,1,0,0,1,0,0,0
775,Vincent Iorio,25-26,S.J,D,21,346.4,0,1,2,3,10,21,34,0.42,0,0,2,32,14,4,11,22,6,0,0,0,-6,0,0,0
776,Vincent Trocheck,25-26,NYR,C,47,981.58,12,15,13,40,82,152,191,15.37,14.63,7.89,10.11,36,58,16,140,52,18,14,0,0,-4,453,336,117
777,Vinnie Hinostroza,25-26,MIN,C,48,494.42,3,2,5,10,46,79,102,6.31,6.52,3.8,7.99,19,39,14,30,35,5,11,1,1,6,20,20,0
778,Vladimir Tarasenko,25-26,MIN,R,57,847.72,16,9,8,33,111,160,209,15.14,14.41,10,9.46,24,46,9,41,55,4,9,0,0,5,5,4,1
779,Vladislav Gavrikov,25-26,NYR,D,62,1489.18,12,6,7,25,93,149,254,5.43,12.9,8.05,3.64,87,78,20,38,89,17,5,0,0,-12,0,0,0
